Country,TotalOrderValue,LogOrderValue,Cluster_2,Cluster_3,Cluster_4,Cluster
AU,138453.81,11.838299269779665,0,0,0,KHRC
AT,10198.68,9.230111626231214,1,2,2,KARC
BH,548.4,6.308826773661173,1,1,1,KLRC
BE,41196.34,10.626128970146535,0,2,2,KARC
BR,1143.6,7.042810509975002,1,1,1,KLRC
CA,3666.38,8.207232789645431,1,1,1,KLRC
CI,20440.54,9.925324383945293,0,2,2,KARC
CY,13502.85,9.51073010895414,0,2,2,KARC
CZ,826.74,6.718699095412067,1,1,1,KLRC
DK,18955.34,9.849893719200102,0,2,2,KARC
IE,265262.46,12.488478799769352,0,0,0,KHRC
EU,1300.25,7.171080619929179,1,1,1,KLRC
FI,22546.08,10.023360846524096,0,2,2,KARC
FR,208934.31,12.249779961504172,0,0,0,KHRC
DE,228678.4,12.340076301620748,0,0,0,KHRC
GR,4760.52,8.468322223982309,1,1,1,KLRC
IS,4310.0,8.368925174747135,1,1,1,KLRC
IL,7215.84,8.884172462949838,1,2,2,KARC
IT,17483.24,9.769055182724957,0,2,2,KARC
JP,37416.369999999995,10.529890314087117,0,2,2,KARC
LB,1693.88,7.435367220848186,1,1,1,KLRC
LT,1661.06,7.415813075846797,1,1,1,KLRC
MT,2725.59,7.9108070231739696,1,1,1,KLRC
NL,285446.34,12.561812842729264,0,0,0,KHRC
NO,36165.44,10.495886895993797,0,2,2,KARC
PL,7334.65,8.900501302874481,1,2,2,KARC
PT,33375.840000000004,10.415617525269031,0,2,2,KARC
ZA,1002.3100000000001,6.9110598129904375,1,1,1,KLRC
SA,145.92,4.989888220951467,1,1,1,KLRC
SG,21279.29,9.965536571182271,0,2,2,KARC
ES,61558.56,11.027760440428896,0,2,2,KARC
SE,38367.83,10.555000690203768,0,2,2,KARC
CH,56443.95,10.941021105877201,0,2,2,KARC
US,3580.39,8.183506272194595,1,1,1,KLRC
AE,1902.28,7.551333992573588,1,1,1,KLRC
UK,7285024.644,15.801331517715061,0,0,3,KHRC
UN,2660.77,7.886746594020154,1,1,1,KLRC
